country, year, suicide_no, population, suicide/100K pop, suicide_rate_trend
Azerbaijan, 2004, 116.0, 7647150.0, 25.47, Increase, 3.64
Azerbaijan, 2007, 99.0, 7622700.0, 17.27, Decrease, -8.20
Bahamas, 1985, 43.0, 4877450.0, 10.37, N/A, N/A
Bahamas, 1987, 1.0, 212100.0, 4.76, Decrease, -5.61
Bahamas, 1993, 4.0, 224600.0, 17.32, Increase, 12.56
Bahamas, 1994, 6.0, 244300.0, 33.78, Increase, 16.46
Bahamas, 1995, 3.0, 249800.0, 10.60, Decrease, -23.18
Bahamas, 1996, 2.0, 253303.0, 7.16, Decrease, -3.44
Bahamas, 1997, 3.0, 252173.0, 9.82, Increase, 2.66
Bahamas, 1998, 2.0, 256128.0, 7.15, Decrease, -2.67
Bahamas, 1999, 4.0, 260751.0, 15.01, Increase, 7.86
Bahamas, 2000, 6.0, 265790.0, 22.92, Increase, 7.91
Bahamas, 2001, 10.0, 271489.0, 36.78, Increase, 13.86
Bahamas, 2002, 3.0, 277512.0, 10.06, Decrease, -26.72
Bahamas, 2003, 1.0, 283265.0, 2.59, Decrease, -7.47
Bahamas, 2004, 2.0, 288984.0, 6.02, Increase, 3.43
Bahamas, 2005, 2.0, 295100.0, 5.89, Decrease, -0.13
Bahamas, 2006, 4.0, 303496.0, 13.22, Increase, 7.33
Bahamas, 2007, 2.0, 309900.0, 5.56, Decrease, -7.66
Bahamas, 2008, 6.0, 315840.0, 16.83, Increase, 11.27
Bahamas, 2009, 4.0, 321650.0, 12.13, Decrease, -4.70
Bahamas, 2010, 7.0, 327410.0, 19.04, Increase, 6.91
Bahamas, 2011, 8.0, 333382.0, 51.99, Increase, 32.95
Bahamas, 2012, 5.0, 338249.0, 16.01, Decrease, -35.98
Bahamas, 2013, 3.0, 343582.0, 5.73, Decrease, -10.28
Bahrain, 1985, 5.0, 402344.0, 13.91, N/A, N/A
Bahrain, 1987, 12.0, 368700.0, 22.71, Increase, 8.80
Bahrain, 1988, 9.0, 364500.0, 25.36, Increase, 2.65
Bahrain, 1997, 13.0, 429163.0, 22.53, Decrease, -2.83
Bahrain, 1998, 0.0, 536076.0, 0.00, Decrease, -22.53
Bahrain, 1999, 3.0, 553396.0, 5.46, Increase, 5.46
Bahrain, 2000, 16.0, 574768.0, 20.38, Increase, 14.92
Bahrain, 2001, 31.0, 606364.0, 35.60, Increase, 15.22
Bahrain, 2002, 23.0, 638185.0, 30.50, Decrease, -5.10
Bahrain, 2003, 24.0, 673982.0, 25.20, Decrease, -5.30
Bahrain, 2004, 34.0, 715455.0, 32.63, Increase, 7.43
Bahrain, 2005, 45.0, 740518.0, 58.45, Increase, 25.82
Bahrain, 2006, 40.0, 834390.0, 37.64, Decrease, -20.81
Bahrain, 2007, 30.0, 904444.0, 28.41, Decrease, -9.23
Bahrain, 2008, 37.0, 975471.0, 29.28, Increase, 0.87
Bahrain, 2009, 46.0, 1039224.0, 30.40, Increase, 1.12
Bahrain, 2010, 31.0, 1098045.0, 19.39, Decrease, -11.01
Bahrain, 2011, 23.0, 1132609.0, 16.21, Decrease, -3.18
Bahrain, 2012, 14.0, 1127007.0, 10.30, Decrease, -5.91
Bahrain, 2013, 19.0, 1201806.0, 8.69, Decrease, -1.61
Bahrain, 2014, 8.0, 1203509.0, 5.55, Decrease, -3.14
Barbados, 1985, 5.0, 965414.0, 2.55, N/A, N/A
Barbados, 1986, 9.0, 231600.0, 69.35, Increase, 66.80
Barbados, 1987, 7.0, 232400.0, 33.22, Decrease, -36.13
Barbados, 1988, 7.0, 233900.0, 32.92, Decrease, -0.30
Barbados, 1989, 15.0, 226200.0, 70.14, Increase, 37.22
Barbados, 1990, 12.0, 236000.0, 57.25, Decrease, -12.89
Barbados, 1991, 18.0, 234000.0, 129.73, Increase, 72.48
Barbados, 1992, 14.0, 236000.0, 64.43, Decrease, -65.30
Barbados, 1993, 19.0, 239100.0, 84.90, Increase, 20.47
Barbados, 1994, 13.0, 238500.0, 78.67, Decrease, -6.23
Barbados, 1995, 15.0, 239200.0, 71.50, Decrease, -7.17
Barbados, 2000, 15.0, 235429.0, 63.75, Decrease, -7.75
Barbados, 2001, 9.0, 250710.0, 32.14, Decrease, -31.61
Barbados, 2002, 2.0, 251938.0, 8.65, Decrease, -23.49
Barbados, 2003, 0.0, 252858.0, 0.00, Decrease, -8.65
Barbados, 2004, 0.0, 253597.0, 0.00, Remain, 0.00
Barbados, 2005, 3.0, 254402.0, 7.79, Increase, 7.79
Barbados, 2006, 1.0, 255290.0, 2.58, Decrease, -5.21
Barbados, 2007, 9.0, 256343.0, 45.38, Increase, 42.80
Barbados, 2008, 0.0, 257634.0, 0.00, Decrease, -45.38
Barbados, 2009, 1.0, 259071.0, 2.31, Increase, 2.31
Barbados, 2010, 5.0, 260492.0, 28.80, Increase, 26.49
Barbados, 2011, 3.0, 261649.0, 7.62, Decrease, -21.18
Barbados, 2012, 0.0, 262935.0, 0.00, Decrease, -7.62
Barbados, 2013, 0.0, 264008.0, 0.00, Remain, 0.00
Belarus, 1990, 167.0, 3152935.0, 23.58, N/A, N/A
Belarus, 1991, 2107.0, 9436200.0, 277.50, Increase, 253.92
Belarus, 1992, 2211.0, 9518300.0, 302.88, Increase, 25.38
Belarus, 1993, 2427.0, 9614900.0, 314.33, Increase, 11.45
Belarus, 1994, 2913.0, 9651800.0, 368.89, Increase, 54.56
Belarus, 1995, 3149.0, 9668700.0, 402.68, Increase, 33.79
Belarus, 1996, 3228.0, 9672500.0, 407.00, Increase, 4.32
Belarus, 1997, 3651.0, 9671400.0, 458.68, Increase, 51.68
Belarus, 1998, 3562.0, 9672800.0, 450.59, Decrease, -8.09
Belarus, 1999, 3575.0, 9602100.0, 457.97, Increase, 7.38
Belarus, 2000, 3403.0, 9530150.0, 450.41, Decrease, -7.56
Belarus, 2001, 3483.0, 9500617.0, 446.48, Decrease, -3.93
Belarus, 2002, 3288.0, 9462334.0, 417.48, Decrease, -29.00
Belarus, 2003, 3283.0, 9414301.0, 409.39, Decrease, -8.09
Belarus, 2007, 3421.0, 9172418.0, 441.93, Increase, 32.54
Belarus, 2008, 2619.0, 9167055.0, 351.49, Decrease, -90.44
Belarus, 2009, 2715.0, 9125539.0, 361.61, Increase, 10.12
Belarus, 2010, 2701.0, 9059236.0, 371.72, Increase, 10.11
Belarus, 2011, 2406.0, 8916648.0, 326.29, Decrease, -45.43
Belarus, 2013, 2116.0, 8840171.0, 293.41, Decrease, -32.88
Belarus, 2014, 1877.0, 8867483.0, 270.51, Decrease, -22.90
Belgium, 1985, 1745.0, 9624440.0, 246.82, N/A, N/A
Belgium, 1986, 2288.0, 9212800.0, 333.19, Increase, 86.37
Belgium, 1987, 2207.0, 9274400.0, 315.60, Decrease, -17.59
Belgium, 1988, 2221.0, 9262400.0, 325.70, Increase, 10.10
Belgium, 1989, 2005.0, 9280900.0, 285.39, Decrease, -40.31
Belgium, 1990, 1909.0, 9310000.0, 283.80, Decrease, -1.59
Belgium, 1991, 1875.0, 9338700.0, 274.68, Decrease, -9.12
Belgium, 1992, 1825.0, 9373300.0, 267.30, Decrease, -7.38
Belgium, 1993, 1906.0, 9411100.0, 270.36, Increase, 3.06
Belgium, 1994, 2152.0, 9448600.0, 302.29, Increase, 31.93
Belgium, 1995, 2139.0, 9483200.0, 302.08, Decrease, -0.21
Belgium, 1996, 2142.0, 9515045.0, 284.15, Decrease, -17.93
Belgium, 1997, 1996.0, 9552998.0, 265.03, Decrease, -19.12
Belgium, 1998, 2156.0, 9565894.0, 286.65, Increase, 21.62
Belgium, 1999, 1995.0, 9617204.0, 261.06, Decrease, -25.59
Belgium, 2000, 1889.0, 9646562.0, 235.89, Decrease, -25.17
Belgium, 2001, 2125.0, 9676043.0, 264.93, Increase, 29.04
Belgium, 2002, 2137.0, 9714983.0, 256.66, Decrease, -8.27
Belgium, 2003, 2112.0, 9761850.0, 253.52, Decrease, -3.14
Belgium, 2004, 2080.0, 9804353.0, 246.88, Decrease, -6.64
Belgium, 2005, 1951.0, 9849733.0, 225.25, Decrease, -21.63
Belgium, 2006, 2021.0, 9904591.0, 230.42, Increase, 5.17
Belgium, 2007, 1938.0, 9966230.0, 215.20, Decrease, -15.22
Belgium, 2008, 1892.0, 1.0037275E7, 213.84, Decrease, -1.36
Belgium, 2009, 1976.0, 1.0111997E7, 217.88, Increase, 4.04
Belgium, 2010, 2020.0, 1.0179726E7, 219.35, Increase, 1.47
Belgium, 2011, 2029.0, 1.0251218E7, 222.14, Increase, 2.79
Belgium, 2012, 2067.0, 1.0374806E7, 223.46, Increase, 1.32
Belgium, 2013, 2015.0, 1.0453E7, 215.54, Decrease, -7.92
Belgium, 2014, 1888.0, 1.0531013E7, 200.57, Decrease, -14.97
Belgium, 2015, 1901.0, 1.0584241E7, 202.22, Increase, 1.65
Belize, 1986, 1751.0, 8102359.0, 190.07, N/A, N/A
Belize, 1987, 2.0, 158495.0, 13.53, Decrease, -176.54
Belize, 1989, 4.0, 147715.0, 31.30, Increase, 17.77
Belize, 1990, 1.0, 158047.0, 4.98, Decrease, -26.32
Belize, 1991, 2.0, 159600.0, 24.72, Increase, 19.74
Belize, 1993, 2.0, 166000.0, 23.93, Decrease, -0.79
Belize, 1994, 1.0, 166591.0, 6.49, Decrease, -17.44
Belize, 1995, 13.0, 179283.0, 186.04, Increase, 179.55
Belize, 1996, 12.0, 177353.0, 136.71, Decrease, -49.33
Belize, 1997, 5.0, 184438.0, 47.24, Decrease, -89.47
Belize, 1998, 3.0, 191289.0, 14.19, Decrease, -33.05
Belize, 1999, 19.0, 198631.0, 109.00, Increase, 94.81
Belize, 2000, 14.0, 205995.0, 67.91, Decrease, -41.09
Belize, 2001, 19.0, 213345.0, 164.04, Increase, 96.13
Belize, 2002, 17.0, 220385.0, 142.96, Decrease, -21.08
Belize, 2003, 14.0, 227212.0, 69.20, Decrease, -73.76
Belize, 2004, 15.0, 233972.0, 69.93, Increase, 0.73
Belize, 2005, 18.0, 240897.0, 109.18, Increase, 39.25
Belize, 2006, 13.0, 247780.0, 48.49, Decrease, -60.69
Belize, 2007, 9.0, 255433.0, 31.52, Decrease, -16.97
Belize, 2008, 6.0, 263151.0, 72.36, Increase, 40.84
Belize, 2009, 17.0, 270863.0, 105.13, Increase, 32.77
Belize, 2010, 9.0, 278482.0, 38.67, Decrease, -66.46
Belize, 2011, 26.0, 286549.0, 94.08, Increase, 55.41
Belize, 2012, 23.0, 293827.0, 123.20, Increase, 29.12
Belize, 2013, 20.0, 300639.0, 78.90, Decrease, -44.30
Belize, 2014, 18.0, 307263.0, 58.52, Decrease, -20.38
Belize, 2015, 24.0, 313980.0, 90.48, Increase, 31.96
Bosnia and Herzegovina, 2011, 20.0, 1236409.0, 119.68, N/A, N/A
Bosnia and Herzegovina, 2014, 14.0, 3586079.0, 4.74, Decrease, -114.94
Brazil, 1985, 1321.0, 6.1575992E7, 113.37, N/A, N/A
Brazil, 1986, 4289.0, 1.17763008E8, 59.85, Decrease, -53.52
Brazil, 1987, 4264.0, 1.209978E8, 56.71, Decrease, -3.14
Brazil, 1988, 4605.0, 1.237562E8, 69.57, Increase, 12.86
Brazil, 1989, 4508.0, 1.2660796E8, 65.59, Decrease, -3.98
Brazil, 1990, 4518.0, 1.29434248E8, 64.31, Decrease, -1.28
Brazil, 1991, 4852.0, 1.3227356E8, 67.28, Increase, 2.97
Brazil, 1992, 5180.0, 1.35040608E8, 68.37, Increase, 1.09
Brazil, 1993, 5366.0, 1.3766128E8, 65.84, Decrease, -2.53
Brazil, 1994, 5629.0, 1.4020888E8, 68.49, Increase, 2.65
Brazil, 1995, 5947.0, 1.42762976E8, 71.68, Increase, 3.19
Brazil, 1996, 6662.0, 1.45311216E8, 75.81, Increase, 4.13
Brazil, 1997, 6604.0, 1.47869264E8, 72.58, Decrease, -3.23
Brazil, 1998, 6904.0, 1.50422464E8, 76.71, Increase, 4.13
Brazil, 1999, 6843.0, 1.5295736E8, 74.42, Decrease, -2.29
Brazil, 2000, 6503.0, 1.55471536E8, 67.51, Decrease, -6.91
Brazil, 2001, 7062.0, 1.57941216E8, 69.83, Increase, 2.32
Brazil, 2002, 7691.0, 1.60402784E8, 73.31, Increase, 3.48
Brazil, 2003, 7727.0, 1.62949904E8, 69.88, Decrease, -3.43
Brazil, 2004, 7847.0, 1.65498944E8, 68.07, Decrease, -1.81
Brazil, 2005, 7968.0, 1.67963456E8, 70.07, Increase, 2.00
Brazil, 2006, 8576.0, 1.70382208E8, 73.87, Increase, 3.80
Brazil, 2007, 8577.0, 1.72694816E8, 69.71, Decrease, -4.16
Brazil, 2008, 8968.0, 1.74872592E8, 72.37, Increase, 2.66
Brazil, 2009, 9034.0, 1.7697872E8, 71.43, Decrease, -0.94
Brazil, 2010, 9379.0, 1.79062896E8, 70.59, Decrease, -0.84
Brazil, 2011, 9527.0, 1.8113032E8, 73.33, Increase, 2.74
Brazil, 2012, 9780.0, 1.83128384E8, 72.19, Decrease, -1.14
Brazil, 2013, 10280.0, 1.8504512E8, 74.38, Increase, 2.19
Brazil, 2014, 10587.0, 1.86899808E8, 73.89, Decrease, -0.49
Brazil, 2015, 10677.0, 1.88718448E8, 73.42, Decrease, -0.47
Bulgaria, 1985, 9363.0, 1.27463104E8, 86.47, N/A, N/A
Bulgaria, 1986, 1452.0, 8392600.0, 302.48, Increase, 216.01
Bulgaria, 1987, 1429.0, 8441000.0, 278.28, Decrease, -24.20
Bulgaria, 1988, 1495.0, 8372700.0, 308.75, Increase, 30.47
